"X.1","X","book_id","title","authors","language_code","books_count","goodreads_book_id","average_rating","ratings_count","image_url","small_image_url"
18,18,19,"The Fellowship of the Ring","J.R.R. Tolkien","en",566,34,4.34,1766803,"https://images.gr-assets.com/books/1298411339m/34.jpg","https://images.gr-assets.com/books/1298411339s/34.jpg"
19,19,20,"Mockingjay","Suzanne Collins","en",239,7260188,4.03,1719760,"https://images.gr-assets.com/books/1358275419m/7260188.jpg","https://images.gr-assets.com/books/1358275419s/7260188.jpg"
20,20,21,"Harry Potter and the Order of the Phoenix","J.K. Rowling, Mary GrandPr","en",307,2,4.46,1735368,"https://images.gr-assets.com/books/1387141547m/2.jpg","https://images.gr-assets.com/books/1387141547s/2.jpg"
21,21,22,"The Lovely Bones","Alice Sebold","en",183,12232938,3.77,1605173,"https://images.gr-assets.com/books/1457810586m/12232938.jpg","https://images.gr-assets.com/books/1457810586s/12232938.jpg"
22,22,23,"Harry Potter and the Chamber of Secrets","J.K. Rowling, Mary GrandPr","en",398,15881,4.37,1779331,"https://images.gr-assets.com/books/1474169725m/15881.jpg","https://images.gr-assets.com/books/1474169725s/15881.jpg"
23,23,24,"Harry Potter and the Goblet of Fire","J.K. Rowling, Mary GrandPr","en",332,6,4.53,1753043,"https://images.gr-assets.com/books/1361482611m/6.jpg","https://images.gr-assets.com/books/1361482611s/6.jpg"
24,24,25,"Harry Potter and the Deathly Hallows","J.K. Rowling, Mary GrandPr","en",263,136251,4.61,1746574,"https://images.gr-assets.com/books/1474171184m/136251.jpg","https://images.gr-assets.com/books/1474171184s/136251.jpg"
25,25,26,"The Da Vinci Code","Dan Brown","en",350,968,3.79,1447148,"https://images.gr-assets.com/books/1303252999m/968.jpg","https://images.gr-assets.com/books/1303252999s/968.jpg"
26,26,27,"Harry Potter and the Half","J.K. Rowling, Mary GrandPr","en",275,1,4.54,1678823,"https://images.gr-assets.com/books/1361039191m/1.jpg","https://images.gr-assets.com/books/1361039191s/1.jpg"
27,27,28,"Lord of the Flies","William Golding","en",458,7624,3.64,1605019,"https://images.gr-assets.com/books/1327869409m/7624.jpg","https://images.gr-assets.com/books/1327869409s/7624.jpg"
28,28,29,"Romeo and Juliet","William Shakespeare, Robert           Jackson","en",1937,18135,3.73,1628519,"https://images.gr-assets.com/books/1327872146m/18135.jpg","https://images.gr-assets.com/books/1327872146s/18135.jpg"
29,29,30,"Gone Girl","Gillian Flynn","en",196,8442457,4.03,512475,"https://images.gr-assets.com/books/1339602131m/8442457.jpg","https://images.gr-assets.com/books/1339602131s/8442457.jpg"
30,30,31,"The Help","Kathryn Stockett","en",183,4667024,4.45,1531753,"https://images.gr-assets.com/books/1346100365m/4667024.jpg","https://images.gr-assets.com/books/1346100365s/4667024.jpg"
31,31,32,"Of Mice and Men","John Steinbeck","en",373,890,3.84,1467496,"https://images.gr-assets.com/books/1437235233m/890.jpg","https://images.gr-assets.com/books/1437235233s/890.jpg"
32,32,33,"Memoirs of a Geisha","Arthur Golden","en",220,930,4.08,1300209,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
33,33,34,"Fifty Shades of Grey","E.L. James","en",169,10818853,3.67,1338493,"https://images.gr-assets.com/books/1385207843m/10818853.jpg","https://images.gr-assets.com/books/1385207843s/10818853.jpg"
34,34,35,"The Alchemist","Paulo Coelho, Alan R. Clarke","en",458,865,3.82,1299566,"https://images.gr-assets.com/books/1483412266m/865.jpg","https://images.gr-assets.com/books/1483412266s/865.jpg"
35,35,36,"The Giver","Lois Lowry","en",192,3636,4.12,1296825,"https://images.gr-assets.com/books/1342493368m/3636.jpg","https://images.gr-assets.com/books/1342493368s/3636.jpg"
36,36,37,"The Lion, the Witch, and the Wardrobe","C.S. Lewis","en",474,100915,4.19,1531800,"https://images.gr-assets.com/books/1353029077m/100915.jpg","https://images.gr-assets.com/books/1353029077s/100915.jpg"
37,37,38,"The Time Traveler's Wife","Audrey Niffenegger","en",167,14050,3.95,746287,"https://images.gr-assets.com/books/1437728815m/14050.jpg","https://images.gr-assets.com/books/1437728815s/14050.jpg"
38,38,39,"A Game of Thrones","George R.R. Martin","en",101,13496,4.45,1319204,"https://images.gr-assets.com/books/1436732693m/13496.jpg","https://images.gr-assets.com/books/1436732693s/13496.jpg"
39,39,40,"Eat, Pray, Love","Elizabeth Gilbert","en",185,19501,3.51,1181647,"https://images.gr-assets.com/books/1503066414m/19501.jpg","https://images.gr-assets.com/books/1503066414s/19501.jpg"
40,40,41,"The Lightning Thief","Rick Riordan","en",159,28187,4.23,1366265,"https://images.gr-assets.com/books/1400602609m/28187.jpg","https://images.gr-assets.com/books/1400602609s/28187.jpg"
41,41,42,"Little Women","Louisa May Alcott","en",1707,1934,4.04,1257121,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
42,42,43,"Jane Eyre","Charlotte Bront","en",2568,10210,4.1,1198557,"https://images.gr-assets.com/books/1327867269m/10210.jpg","https://images.gr-assets.com/books/1327867269s/10210.jpg"
43,43,44,"The Notebook","Nicholas Sparks","en",190,15931,4.06,1053403,"https://images.gr-assets.com/books/1385738917m/15931.jpg","https://images.gr-assets.com/books/1385738917s/15931.jpg"
44,44,45,"Life of Pi","Yann Martel","en",264,4214,3.88,1003228,"https://images.gr-assets.com/books/1320562005m/4214.jpg","https://images.gr-assets.com/books/1320562005s/4214.jpg"
45,45,46,"Water for Elephants","Sara Gruen","en",128,43641,4.07,1068146,"https://images.gr-assets.com/books/1494428973m/43641.jpg","https://images.gr-assets.com/books/1494428973s/43641.jpg"
46,46,47,"The Book Thief","Markus Zusak","en",251,19063,4.36,1159741,"https://images.gr-assets.com/books/1390053681m/19063.jpg","https://images.gr-assets.com/books/1390053681s/19063.jpg"
47,47,50,"Where the Sidewalk Ends","Shel Silverstein","en",45,30119,4.29,1016888,"https://images.gr-assets.com/books/1168052448m/30119.jpg","https://images.gr-assets.com/books/1168052448s/30119.jpg"
48,48,51,"City of Bones","Cassandra Clare","en",178,256683,4.12,1154031,"https://images.gr-assets.com/books/1432730315m/256683.jpg","https://images.gr-assets.com/books/1432730315s/256683.jpg"
49,49,52,"Eclipse","Stephenie Meyer","en",185,428263,3.69,1134511,"https://images.gr-assets.com/books/1361038355m/428263.jpg","https://images.gr-assets.com/books/1361038355s/428263.jpg"
50,50,53,"Eragon","Christopher Paolini","en",217,113436,3.86,1104021,"https://images.gr-assets.com/books/1366212852m/113436.jpg","https://images.gr-assets.com/books/1366212852s/113436.jpg"
51,51,54,"The Hitchhiker's Guide to the Galaxy","Douglas Adams","en",257,11,4.2,936782,"https://images.gr-assets.com/books/1327656754m/11.jpg","https://images.gr-assets.com/books/1327656754s/11.jpg"
52,52,55,"Brave New World","Aldous Huxley","en",515,5129,3.97,1022601,"https://images.gr-assets.com/books/1487389574m/5129.jpg","https://images.gr-assets.com/books/1487389574s/5129.jpg"
53,53,56,"Breaking Dawn","Stephenie Meyer","en",183,1162543,3.7,1070245,"https://images.gr-assets.com/books/1361039438m/1162543.jpg","https://images.gr-assets.com/books/1361039438s/1162543.jpg"
54,54,57,"The Secret Life of Bees","Sue Monk Kidd","en",125,37435,4.01,916189,"https://images.gr-assets.com/books/1473454532m/37435.jpg","https://images.gr-assets.com/books/1473454532s/37435.jpg"
55,55,58,"The Adventures of Huckleberry Finn","Mark Twain, John Seelye, Guy Cardwell","en",2277,2956,3.8,953758,"https://images.gr-assets.com/books/1405973850m/2956.jpg","https://images.gr-assets.com/books/1405973850s/2956.jpg"
56,56,59,"Charlotte's Web","E.B. White, Garth Williams, Rosemary Wells","en",180,24178,4.15,1064521,"https://images.gr-assets.com/books/1439632243m/24178.jpg","https://images.gr-assets.com/books/1439632243s/24178.jpg"
57,57,60,"The Curious Incident of the Dog in the Night","Mark Haddon","en",183,1618,3.85,867553,"https://images.gr-assets.com/books/1479863624m/1618.jpg","https://images.gr-assets.com/books/1479863624s/1618.jpg"
58,58,61,"The Girl on the Train","Paula Hawkins","en",14,22557272,3.88,1008778,"https://images.gr-assets.com/books/1490903702m/22557272.jpg","https://images.gr-assets.com/books/1490903702s/22557272.jpg"
59,59,62,"The Golden Compass","Philip Pullman","en",287,119322,3.94,953970,"https://images.gr-assets.com/books/1451271747m/119322.jpg","https://images.gr-assets.com/books/1451271747s/119322.jpg"
60,60,63,"Wuthering Heights","Emily Bront","en",2498,6185,3.82,899195,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
61,61,64,"My Sister's Keeper","Jodi Picoult","en",125,10917,4.06,863879,"https://images.gr-assets.com/books/1369504683m/10917.jpg","https://images.gr-assets.com/books/1369504683s/10917.jpg"
62,62,65,"Slaughterhouse","Kurt Vonnegut Jr.","en",241,4981,4.06,846488,"https://images.gr-assets.com/books/1440319389m/4981.jpg","https://images.gr-assets.com/books/1440319389s/4981.jpg"
63,63,66,"Gone with the Wind","Margaret Mitchell","en",409,18405,4.28,873981,"https://images.gr-assets.com/books/1328025229m/18405.jpg","https://images.gr-assets.com/books/1328025229s/18405.jpg"
64,64,67,"A Thousand Splendid Suns","Khaled Hosseini","en",197,128029,4.34,818742,"https://images.gr-assets.com/books/1345958969m/128029.jpg","https://images.gr-assets.com/books/1345958969s/128029.jpg"
65,65,68,"The Perks of Being a Wallflower","Stephen Chbosky","en",128,22628,4.21,888806,"https://images.gr-assets.com/books/1167352178m/22628.jpg","https://images.gr-assets.com/books/1167352178s/22628.jpg"
66,66,69,"Insurgent","Veronica Roth","en",164,11735983,4.07,836362,"https://images.gr-assets.com/books/1325667729m/11735983.jpg","https://images.gr-assets.com/books/1325667729s/11735983.jpg"
67,67,70,"Ender's Game","Orson Scott Card","en",224,375802,4.3,813439,"https://images.gr-assets.com/books/1408303130m/375802.jpg","https://images.gr-assets.com/books/1408303130s/375802.jpg"
68,68,71,"Frankenstein","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","en",2618,18490,3.75,808589,"https://images.gr-assets.com/books/1381512375m/18490.jpg","https://images.gr-assets.com/books/1381512375s/18490.jpg"
69,69,72,"The Shining","Stephen King","en",289,11588,4.17,791850,"https://images.gr-assets.com/books/1353277730m/11588.jpg","https://images.gr-assets.com/books/1353277730s/11588.jpg"
70,70,73,"The Host","Stephenie Meyer","en",161,1656001,3.84,749780,"https://images.gr-assets.com/books/1318009171m/1656001.jpg","https://images.gr-assets.com/books/1318009171s/1656001.jpg"
71,71,74,"Looking for Alaska","John Green","en",187,99561,4.09,783470,"https://images.gr-assets.com/books/1394798630m/99561.jpg","https://images.gr-assets.com/books/1394798630s/99561.jpg"
72,72,75,"Bridget Jones's Diary","Helen Fielding","en",193,227443,3.75,736498,"https://images.gr-assets.com/books/1292060045m/227443.jpg","https://images.gr-assets.com/books/1292060045s/227443.jpg"
73,73,76,"Sense and Sensibility","Jane Austen, Tony Tanner, Ros Ballaster","en",1969,14935,4.06,738894,"https://images.gr-assets.com/books/1397245675m/14935.jpg","https://images.gr-assets.com/books/1397245675s/14935.jpg"
74,74,77,"Holes","Louis Sachar, Louis Sachar","en",138,38709,3.93,747445,"https://images.gr-assets.com/books/1327781893m/38709.jpg","https://images.gr-assets.com/books/1327781893s/38709.jpg"
75,75,78,"The Devil Wears Prada","Lauren Weisberger","en",129,5139,3.7,665930,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
76,76,79,"The Odyssey","Homer, Robert Fagles, E.V. Rieu, Fr","en",1703,1381,3.73,670326,"https://images.gr-assets.com/books/1390173285m/1381.jpg","https://images.gr-assets.com/books/1390173285s/1381.jpg"
77,77,80,"The Little Prince","Antoine de Saint","en",1708,157993,4.28,738757,"https://images.gr-assets.com/books/1367545443m/157993.jpg","https://images.gr-assets.com/books/1367545443s/157993.jpg"
78,78,81,"The Glass Castle","Jeannette Walls","en",92,7445,4.24,621099,"https://images.gr-assets.com/books/1400930557m/7445.jpg","https://images.gr-assets.com/books/1400930557s/7445.jpg"
79,79,82,"Into the Wild","Jon Krakauer","en",108,1845,3.94,647684,"https://images.gr-assets.com/books/1403173986m/1845.jpg","https://images.gr-assets.com/books/1403173986s/1845.jpg"
80,80,83,"A Tale of Two Cities","Charles Dickens, Richard Maxwell, Hablot Knight Browne","en",525,1953,3.81,637412,"https://images.gr-assets.com/books/1344922523m/1953.jpg","https://images.gr-assets.com/books/1344922523s/1953.jpg"
81,81,85,"The Giving Tree","Shel Silverstein","en",81,370493,4.38,702332,"https://images.gr-assets.com/books/1174210942m/370493.jpg","https://images.gr-assets.com/books/1174210942s/370493.jpg"
82,82,87,"Night","Elie Wiesel, Marion Wiesel","en",109,1617,4.3,691231,"https://images.gr-assets.com/books/1473495285m/1617.jpg","https://images.gr-assets.com/books/1473495285s/1617.jpg"
83,83,88,"Paper Towns","John Green","en",178,6442769,3.88,461311,"https://images.gr-assets.com/books/1349013610m/6442769.jpg","https://images.gr-assets.com/books/1349013610s/6442769.jpg"
84,84,89,"The Princess Bride","William Goldman","en",129,21787,4.25,628637,"https://images.gr-assets.com/books/1327903636m/21787.jpg","https://images.gr-assets.com/books/1327903636s/21787.jpg"
85,85,90,"The Outsiders","S.E. Hinton","en",156,231804,4.06,659248,"https://images.gr-assets.com/books/1442129426m/231804.jpg","https://images.gr-assets.com/books/1442129426s/231804.jpg"
86,86,91,"The Maze Runner","James Dashner","en",147,6186357,4.02,719925,"https://images.gr-assets.com/books/1375596592m/6186357.jpg","https://images.gr-assets.com/books/1375596592s/6186357.jpg"
87,87,92,"Freakonomics","Steven D. Levitt, Stephen J. Dubner","en",124,1202,3.93,524191,"https://images.gr-assets.com/books/1327909092m/1202.jpg","https://images.gr-assets.com/books/1327909092s/1202.jpg"
88,88,93,"The Secret Garden","Frances Hodgson Burnett","en",1350,2998,4.12,639357,"https://images.gr-assets.com/books/1327873635m/2998.jpg","https://images.gr-assets.com/books/1327873635s/2998.jpg"
89,89,94,"One Hundred Years of Solitude","Gabriel Garc","en",555,320,4.04,490565,"https://images.gr-assets.com/books/1327881361m/320.jpg","https://images.gr-assets.com/books/1327881361s/320.jpg"
90,90,95,"The Picture of Dorian Gray","Oscar Wilde, Jeffrey Eugenides","en",2303,5297,4.06,590014,"https://images.gr-assets.com/books/1424596966m/5297.jpg","https://images.gr-assets.com/books/1424596966s/5297.jpg"
91,91,96,"Fifty Shades Freed","E.L. James","en",133,13536860,3.88,387290,"https://images.gr-assets.com/books/1336418837m/13536860.jpg","https://images.gr-assets.com/books/1336418837s/13536860.jpg"
92,92,97,"Dracula","Bram Stoker, Nina Auerbach, David J. Skal","en",2207,17245,3.98,618973,"https://images.gr-assets.com/books/1387151694m/17245.jpg","https://images.gr-assets.com/books/1387151694s/17245.jpg"
93,93,98,"The Girl Who Played with Fire","Stieg Larsson, Reg Keeland","en",209,5060378,4.22,563994,"https://images.gr-assets.com/books/1351778881m/5060378.jpg","https://images.gr-assets.com/books/1351778881s/5060378.jpg"
94,94,99,"Fifty Shades Darker","E.L. James","en",147,11857408,3.87,552059,"https://images.gr-assets.com/books/1358266080m/11857408.jpg","https://images.gr-assets.com/books/1358266080s/11857408.jpg"
95,95,100,"The Poisonwood Bible","Barbara Kingsolver","en",39,7244,4.02,546502,"https://images.gr-assets.com/books/1412242487m/7244.jpg","https://images.gr-assets.com/books/1412242487s/7244.jpg"
96,96,101,"Me Talk Pretty One Day","David Sedaris","en",59,4137,3.97,495736,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
97,97,102,"Where the Wild Things Are","Maurice Sendak","en",110,19543,4.22,620618,"https://images.gr-assets.com/books/1384434560m/19543.jpg","https://images.gr-assets.com/books/1384434560s/19543.jpg"
98,98,103,"The Count of Monte Cristo","Alexandre Dumas, Robin Buss","en",1310,7126,4.21,555822,"https://images.gr-assets.com/books/1309203605m/7126.jpg","https://images.gr-assets.com/books/1309203605s/7126.jpg"
99,99,104,"The Road","Cormac McCarthy","en",181,6288,3.95,504793,"https://images.gr-assets.com/books/1439197219m/6288.jpg","https://images.gr-assets.com/books/1439197219s/6288.jpg"
100,100,105,"Allegiant","Veronica Roth","en",153,18710190,3.63,463257,"https://images.gr-assets.com/books/1395582745m/18710190.jpg","https://images.gr-assets.com/books/1395582745s/18710190.jpg"
101,101,106,"Bossypants","Tina Fey","en",48,9418327,3.94,506250,"https://images.gr-assets.com/books/1481509554m/9418327.jpg","https://images.gr-assets.com/books/1481509554s/9418327.jpg"
102,102,107,"A Walk to Remember","Nicholas Sparks","en",131,3473,4.15,546948,"https://images.gr-assets.com/books/1385738968m/3473.jpg","https://images.gr-assets.com/books/1385738968s/3473.jpg"
103,103,108,"Confessions of a Shopaholic","Sophie Kinsella","en",144,9416,3.61,543658,"https://images.gr-assets.com/books/1327872404m/9416.jpg","https://images.gr-assets.com/books/1327872404s/9416.jpg"
104,104,109,"Les Mis","Victor Hugo, Lee Fahnestock, Norman MacAfee","en",1319,24280,4.14,513407,"https://images.gr-assets.com/books/1411852091m/24280.jpg","https://images.gr-assets.com/books/1411852091s/24280.jpg"
105,105,110,"A Clash of Kings","George R.R. Martin","en",202,10572,4.4,523303,"https://images.gr-assets.com/books/1358254974m/10572.jpg","https://images.gr-assets.com/books/1358254974s/10572.jpg"
106,106,111,"The Memory Keeper's Daughter","Kim Edwards","en",98,10441,3.64,501430,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
107,107,112,"Me Before You","Jojo Moyes","en",168,15507958,4.27,587647,"https://images.gr-assets.com/books/1357108762m/15507958.jpg","https://images.gr-assets.com/books/1357108762s/15507958.jpg"
108,108,113,"Catch","Joseph Heller","en",251,168668,3.98,563265,"https://images.gr-assets.com/books/1463157317m/168668.jpg","https://images.gr-assets.com/books/1463157317s/168668.jpg"
109,109,114,"Tuesdays with Morrie","Mitch Albom, Saulius Dagys","en",172,6900,4.06,556518,"https://images.gr-assets.com/books/1423763749m/6900.jpg","https://images.gr-assets.com/books/1423763749s/6900.jpg"
110,110,115,"Middlesex","Jeffrey Eugenides","en",125,2187,3.98,488243,"https://images.gr-assets.com/books/1437029776m/2187.jpg","https://images.gr-assets.com/books/1437029776s/2187.jpg"
111,111,116,"The Adventures of Tom Sawyer","Mark Twain, Guy Cardwell, John Seelye","en",2448,24583,3.89,555359,"https://images.gr-assets.com/books/1404811979m/24583.jpg","https://images.gr-assets.com/books/1404811979s/24583.jpg"
112,112,117,"A Wrinkle in Time","Madeleine L'Engle","en",165,18131,4.04,615907,"https://images.gr-assets.com/books/1329061522m/18131.jpg","https://images.gr-assets.com/books/1329061522s/18131.jpg"
113,113,118,"The Joy Luck Club","Amy Tan","en",126,7763,3.9,515090,"https://images.gr-assets.com/books/1304978653m/7763.jpg","https://images.gr-assets.com/books/1304978653s/7763.jpg"
114,114,119,"The Handmaid's Tale","Margaret Atwood","en",236,38447,4.06,607889,"https://images.gr-assets.com/books/1498057733m/38447.jpg","https://images.gr-assets.com/books/1498057733s/38447.jpg"
115,115,120,"The Sisterhood of the Traveling Pants","Ann Brashares","en",93,452306,3.75,525706,"https://images.gr-assets.com/books/1461611233m/452306.jpg","https://images.gr-assets.com/books/1461611233s/452306.jpg"
116,116,121,"Lolita","Vladimir Nabokov, Craig Raine","en",370,7604,3.88,469836,"https://images.gr-assets.com/books/1377756377m/7604.jpg","https://images.gr-assets.com/books/1377756377s/7604.jpg"
117,117,122,"Wicked","Gregory Maguire, Douglas Smith","en",80,37442,3.52,506900,"https://images.gr-assets.com/books/1437733293m/37442.jpg","https://images.gr-assets.com/books/1437733293s/37442.jpg"
118,118,123,"The Firm","John Grisham","en",11,5358,3.99,488269,"https://images.gr-assets.com/books/1418465200m/5358.jpg","https://images.gr-assets.com/books/1418465200s/5358.jpg"
119,119,124,"Room","Emma Donoghue","en",151,7937843,4.03,511360,"https://images.gr-assets.com/books/1344265419m/7937843.jpg","https://images.gr-assets.com/books/1344265419s/7937843.jpg"
120,120,125,"Hamlet","William Shakespeare, Richard Andrews, Rex Gibson","en",1929,1420,4,515820,"https://images.gr-assets.com/books/1351051208m/1420.jpg","https://images.gr-assets.com/books/1351051208s/1420.jpg"
121,121,126,"Dune","Frank Herbert","en",241,234225,4.19,485032,"https://images.gr-assets.com/books/1434908555m/234225.jpg","https://images.gr-assets.com/books/1434908555s/234225.jpg"
122,122,127,"The Tipping Point","Malcolm Gladwell","en",100,2612,3.92,490504,"https://images.gr-assets.com/books/1473396980m/2612.jpg","https://images.gr-assets.com/books/1473396980s/2612.jpg"
123,123,128,"Steve Jobs","Walter Isaacson","en",190,11084145,4.09,560715,"https://images.gr-assets.com/books/1327861368m/11084145.jpg","https://images.gr-assets.com/books/1327861368s/11084145.jpg"
124,124,129,"One Flew Over the Cuckoo's Nest","Ken Kesey","en",275,332613,4.18,491642,"https://images.gr-assets.com/books/1485308778m/332613.jpg","https://images.gr-assets.com/books/1485308778s/332613.jpg"
125,125,130,"The Old Man and the Sea","Ernest Hemingway","en",666,2165,3.73,520630,"https://images.gr-assets.com/books/1329189714m/2165.jpg","https://images.gr-assets.com/books/1329189714s/2165.jpg"
126,126,131,"The Grapes of Wrath","John Steinbeck","en",381,4395,3.92,322321,"https://images.gr-assets.com/books/1352912927m/4395.jpg","https://images.gr-assets.com/books/1352912927s/4395.jpg"
127,127,132,"The Five People You Meet in Heaven","Mitch Albom","en",123,3431,3.9,449501,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
128,128,133,"Anne of Green Gables","L.M. Montgomery","en",1314,8127,4.23,502247,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
129,129,134,"City of Glass","Cassandra Clare","en",122,3777732,4.34,593173,"https://images.gr-assets.com/books/1369452339m/3777732.jpg","https://images.gr-assets.com/books/1369452339s/3777732.jpg"
130,130,135,"A Storm of Swords","George R.R. Martin","en",175,62291,4.54,469022,"https://images.gr-assets.com/books/1497931121m/62291.jpg","https://images.gr-assets.com/books/1497931121s/62291.jpg"
131,131,136,"Divine Secrets of the Ya","Rebecca Wells","en",75,137791,3.79,465676,"https://images.gr-assets.com/books/1408313524m/137791.jpg","https://images.gr-assets.com/books/1408313524s/137791.jpg"
132,132,137,"Outlander","Diana Gabaldon","en",189,10964,4.2,515547,"https://images.gr-assets.com/books/1402600310m/10964.jpg","https://images.gr-assets.com/books/1402600310s/10964.jpg"
133,133,139,"Miss Peregrine","Ransom Riggs","en",155,9460487,3.89,613674,"https://images.gr-assets.com/books/1472782916m/9460487.jpg","https://images.gr-assets.com/books/1472782916s/9460487.jpg"
134,134,140,"The Girl Who Kicked the Hornet's Nest","Stieg Larsson, Reg Keeland","en",193,6892870,4.2,443951,"https://images.gr-assets.com/books/1327708260m/6892870.jpg","https://images.gr-assets.com/books/1327708260s/6892870.jpg"
135,135,142,"The Pillars of the Earth","Ken Follett","en",255,5043,4.29,462517,"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
